subj,rel,obj,subj_type,obj_type,cskg,annotator 1,annotator 2,annotator 3,gs
decision tree,contributes-to,river problem,Method,Task,0,1,0,0,0
decision tree,matches,rough set theory,Method,Method,1,0,1,1,1
decision tree,produces,rule base,Method,Method,1,1,1,1,1
decision tree,uses,shapelets,Method,Method,0,1,0,0,0
decision tree,uses,sleeps stage,Method,OtherEntity,0,1,0,0,0
decision tree,solves,square pyramidal cu ii coordination,Method,OtherEntity,0,0,0,0,0
decision tree,manages,stream data,Method,Material,1,1,0,1,1
decision tree,matches,structured label,Method,OtherEntity,0,0,0,0,0
decision tree,uses,subhidden layer,Method,OtherEntity,1,0,1,0,0
decision tree,uses,subsequence,Method,Material,1,1,0,0,0
decision tree,matches,supervised classification,Method,Task,1,1,1,1,1
decision tree,skos:broader/is/hyponym-of,supervised classification learning method,Method,Method,1,1,1,1,1
decision tree,includes,visual temporal context,Method,OtherEntity,0,1,0,0,0
decision tree,includes,web data mining,Method,Task,1,0,1,0,0
decision tree,solves,web data mining,Method,Task,1,1,1,1,1
deep learning,supports,algorithmic trading,Method,Task,1,1,1,1,1
deep learning,executes,anatomical object,Method,Material,0,0,0,1,0
deep learning,adapts,automatic feature construction method,Method,Method,1,1,1,1,1
deep learning,uses,backpropagation network,Method,Method,1,1,1,1,1
deep learning,uses,basket recommendation,Method,Task,0,1,0,0,0
deep learning,improves,belief propagation algorithm,Method,Method,1,1,0,1,1
deep learning,identifies,cable fault,Method,OtherEntity,1,1,0,0,0
deep learning,improves,canonical correlation analysis,Method,Method,1,1,1,0,1
deep learning,uses,cltorch,Method,Method,0,1,0,1,1
deep learning,provides,cognitive model,Method,Method,1,1,1,1,1
deep learning,improves,computing hardware device,Method,Method,1,1,0,0,0
deep learning,extracts,continuous emotional care,Method,OtherEntity,0,1,0,0,0
deep learning,uses,convolutional neural cnn network,Method,Method,1,1,1,1,1
deep learning,improves,cyclic autocorrelation,Method,OtherEntity,0,1,0,1,1
deep learning,produces,data augmentation,Method,Task,1,1,1,1,1
deep learning,uses,data augmentation,Method,Task,1,1,1,1,1
deep learning,executes,deep artificial neural network,Method,Method,1,0,1,1,1
deep learning,supports,deep learning assisted echocardiographic interpretation,Method,Task,1,1,1,1,1
deep learning,based-on,deep regionlets,Method,Method,0,1,1,1,1
deep learning,produces,density map representation,Method,Method,1,1,0,1,1
deep learning,uses,density profile,Method,Method,1,1,0,0,0
deep learning,produces,discriminative manifold learning method,Method,Method,1,1,0,0,0
deep learning,based-on,dynamic patch based sampling algorithm,Method,Method,0,0,1,0,0
deep learning,learns,embedding method,Method,Method,1,0,1,1,1
deep learning,uses,encrypted data,Method,Material,1,1,1,1,1
deep learning,identifies,experiment narrative,Method,Material,0,1,0,1,1
deep learning,based-on,exporting 3d graphic,Method,Method,0,0,0,0,0
deep learning,acquires,face recognition,Method,Task,1,0,1,1,1
deep learning,provides,face recognition,Method,Task,1,1,1,1,1
deep learning,uses,features representation capability,Method,OtherEntity,1,1,1,1,1
deep learning,supports,feedforward neural network,Method,Method,1,0,1,1,1
deep learning,predicts,forced alignment system,Method,Method,0,0,0,0,0
deep learning,produces,fuzzy relevance profile,Method,OtherEntity,0,0,0,1,0
deep learning,affects,handmade filter,Method,Method,1,0,0,0,0
deep learning,produces,hatnoodle device,Method,Method,0,0,0,0,0
deep learning,extracts,hierarchical feature representation,Method,Method,1,1,1,1,1
deep learning,based-on,high speed ball screw,Method,OtherEntity,0,0,0,0,0
deep learning,improves,image level super resolution,Method,Task,1,1,1,1,1
deep learning,learns,image pixel intensity,Method,OtherEntity,1,1,1,1,1
deep learning,uses,image to image prediction,Method,Task,1,1,1,1,1
deep learning,uses,interactive toolkit library,Method,Method,0,0,1,1,1
deep learning,predicts,joint 3d location,Method,OtherEntity,1,1,0,1,1
deep learning,uses,keras library,Method,Method,1,1,1,1,1
deep learning,analyzes,kernel weight vector,Method,OtherEntity,0,1,0,1,1
deep learning,solves,latent code,Method,OtherEntity,1,1,0,1,1
deep learning,uses,legal scholarship,Method,Method,0,0,0,0,0
deep learning,predicts,lms system,Method,Method,0,0,0,1,0
deep learning,learns,low and mid level feature,Method,OtherEntity,1,1,1,1,1
deep learning,provides,machine based learning,Method,Method,1,1,1,1,1
deep learning,includes,machine learning method,Method,Method,1,1,1,1,1
deep learning,acquires,material recognition,Method,Task,1,0,1,0,0
deep learning,executes,mean square,Method,Metric,0,1,0,1,1
deep learning,includes,medical image computing,Method,Task,1,1,1,1,1
deep learning,produces,modal framework,Method,Method,0,1,0,1,1
deep learning,produces,monocular sequence of image,Method,Material,1,1,0,1,1
deep learning,skos:broader/is/hyponym-of,multiple layer network,Method,Method,1,1,0,1,1
deep learning,uses,mutation operations method,Method,Method,0,0,0,1,0
deep learning,learns,nature feature,Method,OtherEntity,1,1,0,0,0
deep learning,produces,network architecture,Method,Method,1,1,0,1,1
deep learning,includes,non linear mapping capability,Method,OtherEntity,1,1,1,0,1
deep learning,based-on,object detection method,Method,Method,1,0,1,0,0
deep learning,acquires,operator valued kernel,Method,OtherEntity,0,1,0,1,1
deep learning,uses,optimally taxing subnetworks,Method,Task,0,0,0,0,0
deep learning,uses,partitioned data set,Method,Material,1,1,1,1,1
deep learning,uses,position collecting module,Method,Method,0,0,0,0,0
deep learning,includes,power grid device,Method,Method,0,0,0,0,0
deep learning,uses,quantum mechanical qm dft calculation,Method,Method,0,0,0,0,0
deep learning,provides,radical break,Method,OtherEntity,0,0,0,1,0
deep learning,extracts,raw data set,Method,Material,1,1,0,0,0
deep learning,uses,raw data set,Method,Material,1,1,1,1,1
deep learning,includes,recommendation system,Method,Method,1,1,1,1,1
deep learning,includes,rectangular selection area,Method,OtherEntity,0,1,0,1,1
deep learning,uses,recurrent neural network,Method,Method,1,1,1,1,1
deep learning,outperforms,relative clustering validity index,Method,Metric,0,0,0,1,0
deep learning,based-on,rendering and modeling,Method,Task,0,0,1,0,0
deep learning,includes,representation vector generation network,Method,Method,1,1,1,0,1
deep learning,extracts,richer bilingual constraint,Method,OtherEntity,0,1,0,1,1
deep learning,uses,risk function,Method,Method,1,1,0,0,0
deep learning,based-on,s lstm,Method,Method,1,0,1,1,1
deep learning,uses,s sgd,Method,Method,1,1,1,1,1
deep learning,produces,second matching model,Method,OtherEntity,0,0,0,0,0
deep learning,uses,second order operation,Method,OtherEntity,0,1,0,1,1
deep learning,learns,similarity measure metric,Method,Metric,0,1,1,1,1
deep learning,uses,smoothing method,Method,Method,0,1,1,1,1
deep learning,provides,soft sensor modeling approach,Method,Method,1,1,0,1,1
deep learning,learns,spectral mapping method,Method,Method,1,1,0,1,1
deep learning,provides,speech recognition software,Method,Method,1,1,0,1,1
deep learning,uses,speech recognition software,Method,Method,1,1,0,0,0
deep learning,solves,state estimation information,Method,OtherEntity,0,1,0,0,0
deep learning,analyzes,sub regional distribution of wealth,Method,OtherEntity,1,1,0,0,0
deep learning,uses,supervised classification,Method,Task,1,1,1,1,1
deep learning,provides,supervised machine learning,Method,Method,1,1,1,1,1
deep learning,uses,supervised machine learning,Method,Method,1,1,1,1,1
deep learning,produces,terminal operation and control method,Method,Method,0,0,0,0,0
deep learning,matches,text data,Method,Material,0,0,1,0,0
deep learning,improves,tpl friendly design,Method,Method,0,0,0,0,0
deep learning,based-on,trend prediction classification framework,Method,Method,0,1,1,0,1
deep learning,skos:broader/is/hyponym-of,unexplained tectonic activity,Method,OtherEntity,0,0,0,0,0
deep learning,includes,unsupervised and supervised learning problem,Method,Task,1,1,1,0,1
deep learning,identifies,users data behavior,Method,OtherEntity,1,1,1,1,1
deep learning,analyzes,value function,Method,Method,1,1,0,1,1
deep learning,improves,visual detecting method,Method,Method,1,1,1,1,1
deep learning,supports,wireless interference limited network,Method,Task,0,0,0,0,0
deep learning,uses,word table,Method,OtherEntity,1,1,0,0,0
deep learning toolkit,improves,supervised machine learning,Method,Method,1,1,1,1,1
deep model feature,matches,dimensionality reduction,OtherEntity,Task,0,0,1,0,0
deep neutral network,uses,deep learning,Method,Method,1,1,1,1,1
demographically tagged blog corpus,produces,supervised machine learning,Material,Method,0,0,0,0,0
depth map,produces,cluster analysis,Material,Method,0,1,0,0,0
depth uncertainty area,uses,deep learning,OtherEntity,Method,0,0,0,0,0
descriptor,uses,supervised machine learning,Method,Method,1,1,0,1,1
detection algorithm,uses,deep learning,Method,Method,1,1,1,1,1
detection of the spam email,uses,bayesian classifier,Task,Method,1,1,1,1,1
detection operation speed,identifies,ensemble learning,Metric,Method,0,0,0,0,0
detector of facial landmark,uses,decision tree,OtherEntity,Method,0,1,0,0,0
digital three axis stabilized platform,uses,cluster analysis,Method,Method,0,1,0,0,0
dimensionality,identifies,cluster analysis,Metric,Method,0,0,0,0,0
dimensionality reduction,uses,american football games network,Task,Material,0,1,0,0,0
dimensionality reduction,provides,archetype term,Task,OtherEntity,0,0,0,0,0
dimensionality reduction,limits,batch mode framework,Task,Method,0,0,0,0,0
dimensionality reduction,classifies,class distribution,Task,OtherEntity,0,1,0,0,0
dimensionality reduction,manages,compact representation,Task,Method,1,1,1,1,1
dimensionality reduction,improves,computational efficiency,Task,Metric,1,1,1,1,1
dimensionality reduction,acquires,coupling concept,Task,OtherEntity,0,0,0,0,0
dimensionality reduction,uses,dbn pretraining,Task,Task,0,1,0,1,1
dimensionality reduction,uses,feature vector,Task,Method,1,1,1,1,1
dimensionality reduction,uses,feedforward neural network,Task,Method,1,1,1,1,1
dimensionality reduction,skos:broader/is/hyponym-of,functionally complementary process,Task,OtherEntity,0,1,0,1,1
dimensionality reduction,matches,gpcs,Task,Method,0,1,0,0,0
dimensionality reduction,uses,high computing platform,Task,Method,0,1,1,0,1
dimensionality reduction,uses,institutional authentication infrastructure,Task,Method,0,1,0,0,0
dimensionality reduction,uses,lda g,Task,Method,1,1,1,0,1
dimensionality reduction,manages,local geometry,Task,OtherEntity,1,1,1,1,1
dimensionality reduction,matches,low dimensional coordinate,Task,OtherEntity,0,1,1,1,1
dimensionality reduction,uses,manifold learning,Task,Method,1,1,0,1,1
dimensionality reduction,skos:broader/is/hyponym-of,model generation activity,Task,Method,1,0,1,0,0
dimensionality reduction,uses,modified lens design,Task,Method,0,0,0,0,0
dimensionality reduction,uses,non-negative matrix factorization,Task,Method,1,1,1,1,1
dimensionality reduction,uses,perspective projection,Task,Method,1,0,1,1,1
dimensionality reduction,matches,plug in solution,Task,Method,0,0,0,0,0
dimensionality reduction,uses,poisson factor analysis model,Task,Method,0,1,0,1,1
dimensionality reduction,uses,preprocessing and postprocessing method,Task,Method,1,1,1,1,1
dimensionality reduction,uses,principal component analysis based method,Task,Method,1,1,1,1,1
dimensionality reduction,uses,principal components analysis pca approach,Task,Method,1,1,1,1,1
dimensionality reduction,includes,principle component analysis,Task,Method,1,1,1,1,1
dimensionality reduction,produces,principle component analysis,Task,Method,1,1,1,1,1
dimensionality reduction,provides,processing of large data,Task,Task,1,1,1,1,1
dimensionality reduction,transfers,quotient fused image,Task,Material,0,0,0,0,0
dimensionality reduction,based-on,random projection,Task,Method,1,0,1,1,1
dimensionality reduction,includes,reconstruction error erom,Task,OtherEntity,1,0,0,0,0
dimensionality reduction,acquires,retrieval performance,Task,Metric,1,0,1,0,0
dimensionality reduction,limits,sample complexity,Task,Metric,0,1,0,1,1
dimensionality reduction,improves,serial multimodal biometric system,Task,Task,0,1,0,1,1
dimensionality reduction,provides,symbol estimate,Task,Task,0,0,0,1,0
dimensionality reduction,uses,unified approach,Task,Method,1,0,0,1,0
dimensionality reduction,uses,value sensor,Task,OtherEntity,0,1,0,0,0
dimensionality reduction vector matrix,uses,dimensionality reduction,OtherEntity,Task,0,1,0,1,1
discriminant feature subset,uses,dimensionality reduction,OtherEntity,Task,0,1,1,1,1
discriminative dictionary,includes,supervised machine learning,Method,Method,1,0,0,1,0
displacement estimation algorithm,acquires,cluster analysis,Method,Method,0,1,0,0,0
distant cell tower,uses,deep learning,OtherEntity,Method,0,0,0,0,0
document image,uses,deep learning,Material,Method,0,0,0,0,0
document retrieval,uses,dimensionality reduction,Task,Task,1,1,1,1,1
domain ontology,improves,supervised machine learning,Material,Method,1,0,1,1,1
dresden image database,analyzes,cluster analysis,Material,Method,0,0,0,0,0
drug se pair,uses,supervised machine learning,Material,Method,0,0,0,0,0
economics,proposes,cluster analysis,Material,Method,0,0,0,0,0
electrical generator,uses,supervised machine learning,Method,Method,0,1,0,0,0
embedded,uses,deep learning,Method,Method,1,0,0,0,0
embedded software synthesis approach,based-on,cluster analysis,Method,Method,0,1,1,0,1
energy efficiency,produces,cluster analysis,Metric,Method,0,1,0,0,0
ensemble classification,uses,decision tree,Task,Method,1,1,1,1,1
ensemble learning,improves,base learner,Method,Method,1,1,1,1,1
ensemble learning,analyzes,intrinsic geometry of the manifold,Method,OtherEntity,0,1,0,0,0
ensemble learning,produces,markov chain monte carlo calculation,Method,Method,0,1,1,0,1
ensemble learning,improves,prediction accuracy and efficiency,Method,Metric,1,1,1,1,1
ensemble learning,manages,two class imbalance problem,Method,Task,1,1,1,1,1
ensemble local search,uses,deep learning,Method,Method,0,1,1,1,1
entirely deterministic method,produces,decision tree,Method,Method,1,0,1,0,0
error and failure dependency,uses,cluster analysis,OtherEntity,Method,0,0,0,0,0
error rate estimator,analyzes,cluster analysis,Method,Method,1,0,1,1,1
es kmeans,skos:broader/is/hyponym-of,cluster analysis,Method,Method,1,1,1,1,1
estimation of distribution algorithms eda,uses,cluster analysis,Method,Method,0,1,1,1,1
evalita 2009 ner benchmark,analyzes,deep learning,Material,Method,0,0,0,0,0
evaluation and,uses,supervised machine learning,Task,Method,1,0,0,0,0
evaluation request,manages,deep learning,Task,Method,0,0,0,0,0
evolved tree,matches,decision tree,OtherEntity,Method,0,0,0,0,0
existing measure,uses,cluster analysis,OtherEntity,Method,1,1,0,0,0
existing method,executes,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
expression profile data,uses,cluster analysis,Material,Method,0,0,0,0,0
expression recognition,uses,deep learning,Task,Method,1,1,0,1,1
extminer,supports,cluster analysis,Method,Method,1,1,1,1,1
ezcalc,acquires,cluster analysis,Material,Method,0,0,0,0,0
face detection system,uses,decision tree,Method,Method,1,1,1,1,1
factorization,provides,link prediction,Method,Task,1,0,1,1,1
fakm,executes,cluster analysis,Method,Method,1,1,0,1,1
faq retrieval system,uses,cluster analysis,Method,Method,0,1,1,0,1
feature block,matches,dimensionality reduction,OtherEntity,Task,0,1,0,1,1
feature decomposition approach,affects,decision tree,Method,Method,1,1,1,1,1
feature maximization,skos:broader/is/hyponym-of,decision tree,Method,Method,0,0,0,1,0
feature set,analyzes,cluster analysis,Material,Method,0,0,0,0,0
feature space,acquires,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
feature subtypes,produces,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
feedforward neural network,uses,cluster analysis,Method,Method,1,1,0,0,0
feedforward neural network,matches,decision tree,Method,Method,1,0,1,1,1
filtered digital image,includes,cluster analysis,Material,Method,0,0,0,0,0
financial application example,includes,supervised machine learning,Material,Method,0,0,0,0,0
fingerprint and palmprint image,extracts,deep learning,Material,Method,0,0,0,0,0
fingerprint recognition,based-on,supervised machine learning,Task,Method,1,1,1,1,1
first model,uses,supervised machine learning,OtherEntity,Method,0,0,0,0,0
fisher discriminant analysis,skos:broader/is/hyponym-of,dimensionality reduction,Method,Task,1,1,1,1,1
fixed delay timing analysis,analyzes,dimensionality reduction,Method,Task,0,0,0,0,0
floating point machine learning network,skos:broader/is/hyponym-of,supervised machine learning,Method,Method,1,1,0,1,1
forecasting model,uses,feedforward neural network,Method,Method,1,1,1,1,1
framelevel feature,executes,deep learning,OtherEntity,Method,1,0,0,0,0
frequency and time domain,extracts,supervised machine learning,Material,Method,0,0,0,0,0
frequency selective surface,analyzes,cluster analysis,Method,Method,0,0,0,0,0
full dependency syntactic feature space,proposes,cluster analysis,OtherEntity,Method,0,0,0,0,0
function class,analyzes,deep learning,Method,Method,0,0,0,0,0
functional response amplitude,matches,supervised machine learning,OtherEntity,Method,0,0,0,0,0
future sensor reading,produces,deep learning,OtherEntity,Method,0,0,0,0,0
fuzziness,includes,decision tree,Metric,Method,0,0,0,0,0
fuzzy c-means,based-on,cluster analysis,Method,Method,1,1,1,1,1
fuzzy clustering,skos:broader/is/hyponym-of,cluster analysis,Method,Method,1,1,1,1,1
fuzzy clustering based algorithm,executes,cluster analysis,Method,Method,1,1,1,1,1
fuzzy rule,uses,decision tree,Method,Method,1,1,0,1,1
fuzzy subtractive clustering,skos:broader/is/hyponym-of,cluster analysis,Method,Method,1,1,1,1,1
fuzzy time series,uses,dimensionality reduction,Material,Task,0,0,0,0,0
gaussian mixture model,produces,cluster analysis,Method,Method,1,1,1,1,1
gaussian process,produces,ensemble learning,Method,Method,1,0,1,1,1
gbi,produces,decision tree,Method,Method,1,1,1,1,1
gene chip data,uses,supervised machine learning,Material,Method,0,0,0,0,0
genetic programming,extracts,decision tree,Method,Method,1,1,1,1,1
genre taxonomy,uses,supervised machine learning,Material,Method,0,0,0,0,0
global server site,contributes-to,cluster analysis,OtherEntity,Method,0,0,0,0,0
google knowledge graph,uses,link prediction,Material,Task,0,0,0,0,0
graph based vehicle tracking method,uses,deep learning,Method,Method,0,1,0,1,1
graph conductance,provides,link prediction,OtherEntity,Task,0,1,0,1,1
graphics processor,uses,deep learning,Method,Method,1,1,1,1,1
gray level split gray image,uses,cluster analysis,Material,Method,0,0,0,0,0
grid node,uses,supervised machine learning,OtherEntity,Method,0,0,0,0,0
ground truth,provides,cluster analysis,Material,Method,0,0,0,0,0
grouping brain activity,uses,cluster analysis,OtherEntity,Method,1,1,0,0,0
grouping similar object,uses,cluster analysis,Task,Method,1,1,1,0,1
guideline,produces,supervised machine learning,Material,Method,0,0,0,0,0
gyroscope feature signal,processes,supervised machine learning,OtherEntity,Method,0,0,0,0,0
hand gesture,analyzes,cluster analysis,Material,Method,0,0,0,0,0
hand gesture,identifies,decision tree,Material,Method,0,0,0,0,0
hard subspace clustering algorithm,uses,dimensionality reduction,Method,Task,1,1,1,1,1
hash code data,uses,deep learning,Material,Method,0,0,0,0,0
health support system,includes,pattern classification,Method,Task,0,1,1,1,1
height oriented method,manages,supervised machine learning,Method,Method,0,1,0,0,0
heterogeneous data set,analyzes,cluster analysis,Material,Method,0,0,0,0,0
hetgnn,outperforms,cluster analysis,Method,Method,0,1,1,0,1
hexagonal clustering result,includes,cluster analysis,OtherEntity,Method,0,1,1,0,1
hierarchical algorithm approach,solves,cluster analysis,Method,Method,1,1,1,0,1
hierarchical and nonhierarchical clustering algorithm,skos:broader/is/hyponym-of,cluster analysis,Method,Method,1,1,1,1,1
high dimensional structured data,executes,cluster analysis,Material,Method,0,0,0,0,0
high dimensions data,executes,decision tree,Material,Method,0,0,0,0,0
high performance membership function,uses,decision tree,OtherEntity,Method,0,0,0,0,0
high speed morphological processing,outperforms,supervised machine learning,Task,Method,0,0,0,0,0
higher dimensional data set,uses,deep learning,Material,Method,0,0,0,0,0
highly descriptive feature,includes,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
human maintained web directory,analyzes,cluster analysis,Material,Method,0,0,0,0,0
hybrid method,based-on,supervised machine learning,Method,Method,1,1,1,1,1
hybrid recommendation approach,based-on,dimensionality reduction,Method,Task,0,1,1,1,1
hyper-spectral image,analyzes,cluster analysis,Material,Method,0,0,0,0,0
hypertext and searchable index,solves,bayesian classifier,OtherEntity,Method,0,0,0,0,0
hypothesis set,includes,decision tree,Material,Method,0,0,0,0,0
iir system,uses,supervised machine learning,Method,Method,1,0,1,1,1
image analysis,uses,deep learning,Task,Method,1,1,1,1,1
image categorization or classification problem,uses,deep learning,Task,Method,1,1,1,1,1
image classification,includes,deep learning,Task,Method,1,1,1,1,1
image classification,uses,deep learning,Task,Method,1,1,1,1,1
image classification and processing method,based-on,deep learning,Method,Method,1,1,1,1,1
image classification and processing method,includes,supervised machine learning,Method,Method,1,1,1,1,1
image data retrieval method,uses,deep learning,Method,Method,1,1,1,1,1
image denoising method,uses,deep learning,Method,Method,0,1,1,1,1
image feature,uses,cluster analysis,Material,Method,0,0,0,0,0
image of image characteristic,uses,dimensionality reduction,OtherEntity,Task,0,0,0,0,0
image of the video sequence,uses,supervised machine learning,Material,Method,0,0,0,0,0
image processing systems and method,uses,deep learning,Method,Method,1,1,1,1,1
image quality,includes,supervised machine learning,Metric,Method,0,0,0,0,0
in network data compression,limits,deep learning,Task,Method,1,0,0,0,0
index evaluation personnel,supports,supervised machine learning,OtherEntity,Method,0,0,0,0,0
indexation structure,uses,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
indirect learning feature weight algorithm,improves,cluster analysis,Method,Method,1,1,1,1,1
inertia matrix,based-on,cluster analysis,OtherEntity,Method,0,1,1,0,1
information retrieval technique,based-on,supervised machine learning,Method,Method,1,1,1,1,1
information source,uses,deep learning,Material,Method,0,0,0,0,0
informational and interface affordances,uses,ensemble learning,OtherEntity,Method,0,0,0,0,0
informative representation,uses,deep learning,Method,Method,1,1,0,1,1
initial centre,executes,cluster analysis,OtherEntity,Method,1,0,0,0,0
inspection cost,uses,cluster analysis,Metric,Method,0,0,0,0,0
internet of things technology,uses,supervised machine learning,Method,Method,1,1,1,1,1
interviewing process,uses,decision tree,Task,Method,0,1,0,1,1
iots,uses,deep learning,Material,Method,0,1,0,0,0
java based software,improves,cluster analysis,Method,Method,0,1,0,1,1
just in time jit philosophy,based-on,deep learning,Method,Method,0,1,0,1,1
k means like algorithm,guides,cluster analysis,Method,Method,1,1,1,1,1
k means like algorithm,uses,cluster analysis,Method,Method,1,1,1,1,1
kernel learning approach,classifies,supervised machine learning,Method,Method,1,0,1,0,0
knowledge acquisition,uses,supervised machine learning,Task,Method,1,1,1,1,1
knowledge base,based-on,cluster analysis,Material,Method,1,0,0,0,0
knowledge based alarm system,uses,supervised machine learning,Method,Method,0,1,0,1,1
knowledge reuse mechanism,uses,deep learning,Method,Method,0,1,0,1,1
kohonen network,matches,cluster analysis,Method,Method,1,0,1,1,1
kohonen network,skos:broader/is/hyponym-of,cluster analysis,Method,Method,1,0,1,1,1
lane semantics,uses,deep learning,OtherEntity,Method,0,0,0,0,0
large media directory,uses,supervised machine learning,Material,Method,0,0,1,0,0
large scale collection of document,uses,cluster analysis,Material,Method,0,0,0,0,0
large scale dataset,transfers,deep learning,Material,Method,1,0,0,0,0
large scale deep neural network,based-on,dimensionality reduction,Task,Task,0,1,1,1,1
large size database,matches,cluster analysis,Material,Method,0,0,0,0,0
large sized data,uses,cluster analysis,Material,Method,0,0,0,0,0
large sized dataset,executes,deep learning,Material,Method,0,0,0,0,0
lead tension change trend diagram,skos:broader/is/hyponym-of,decision tree,OtherEntity,Method,0,0,0,0,0
leaf photograph,includes,dimensionality reduction,Material,Task,0,0,0,0,0
leak,based-on,supervised machine learning,OtherEntity,Method,0,0,0,0,0
learned structure,improves,deep learning,OtherEntity,Method,1,1,0,0,0
learning based,uses,deep learning,Method,Method,1,0,0,1,0
learning non stationary data,acquires,supervised machine learning,Task,Method,1,0,0,1,0
learning or estimation problem,uses,supervised machine learning,Task,Method,0,1,1,1,1
least square support vector machine,includes,pattern classification,Method,Task,1,1,1,1,1
leg support member,contributes-to,parameter learning,OtherEntity,Method,0,0,0,0,0
linguistics,acquires,supervised machine learning,Material,Method,0,0,0,0,0
link prediction,analyzes,cnrl model,Task,Method,0,0,0,1,0
link prediction,skos:broader/is/hyponym-of,evaluation measure task,Task,Task,1,0,1,0,0
link prediction,produces,heterogenous relationship,Task,OtherEntity,1,1,1,1,1
link prediction,limits,link prediction lp approach,Task,Method,1,0,1,0,0
link prediction,uses,network panel data,Task,Material,1,1,1,1,1
link prediction,skos:broader/is/hyponym-of,network science,Task,Task,1,1,1,1,1
link prediction,uses,network traffic,Task,Material,0,1,0,1,1
link prediction,skos:broader/is/hyponym-of,real world example application,Task,Task,1,0,1,1,1
link prediction,uses,temporal based metric,Task,Method,1,0,1,1,1
lipschitz continuous,skos:broader/is/hyponym-of,deep learning,OtherEntity,Method,0,0,0,0,0
live dom element,extracts,supervised machine learning,OtherEntity,Method,0,0,0,0,0
local geometry,produces,dimensionality reduction,OtherEntity,Task,0,1,0,1,1
locomotive driving circuit,provides,link prediction,Method,Task,0,0,0,0,0
logic language program,uses,cluster analysis,Method,Method,0,0,0,0,0
long term memory,uses,supervised machine learning,OtherEntity,Method,1,0,0,0,0
low dimension manifold structure,uses,dimensionality reduction,OtherEntity,Task,0,1,0,1,1
low dimension space,acquires,dimensionality reduction,OtherEntity,Task,0,1,0,1,1
low dimensionality gabor feature vector,executes,dimensionality reduction,OtherEntity,Task,0,1,0,1,1
low level resolution image,uses,cluster analysis,Material,Method,0,0,0,1,0
lower dimensional locomotion stimulus,uses,decision tree,OtherEntity,Method,0,0,0,0,0
lymphocyte cell type,uses,deep learning,OtherEntity,Method,0,0,0,0,0
machine learned learning data,executes,supervised machine learning,Material,Method,0,0,0,0,0
machine learning based algorithm,includes,decision tree,Method,Method,1,1,1,1,1
machine learning based algorithm,uses,deep learning,Method,Method,1,1,1,1,1
machine learning based algorithm,produces,dimensionality reduction,Method,Task,1,1,1,0,1
machine learning training instance,uses,supervised machine learning,Material,Method,0,0,1,0,0
machine translation,uses,deep learning,Task,Method,1,1,1,1,1
machinelearning technique,produces,decision tree,Method,Method,1,1,1,1,1
malicious software,uses,supervised machine learning,Method,Method,1,0,0,1,0
malignant transformation,uses,supervised machine learning,Task,Method,1,0,0,1,0
mass data set,uses,cluster analysis,Material,Method,0,0,0,0,0
matched filter approach,acquires,dimensionality reduction,Method,Task,0,0,0,0,0
mathematics school curriculum,executes,cluster analysis,Method,Method,0,0,0,0,0
maximum degree,matches,cluster analysis,OtherEntity,Method,0,0,0,0,0
mb texture and mv correspondence,uses,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
mcfp,uses,cluster analysis,Method,Method,1,1,1,1,1
mdg,uses,cluster analysis,Method,Method,0,1,1,1,1
mdv,uses,supervised machine learning,Method,Method,0,0,0,1,0
measurements data,produces,cluster analysis,Material,Method,0,0,0,0,0
medical image segmentation,uses,deep learning,Task,Method,1,1,0,1,1
medoidshifts,uses,cluster analysis,Method,Method,1,1,1,1,1
mel frequency,uses,deep learning,Method,Method,1,0,0,1,0
memory usage data,uses,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
micro level node evolution,produces,link prediction,OtherEntity,Task,0,0,0,1,0
micro-blog,produces,cluster analysis,Material,Method,0,0,0,0,0
microarray data management and processing,uses,cluster analysis,Task,Method,1,1,1,1,1
microarray data representation structure,uses,cluster analysis,Method,Method,1,1,1,1,1
microarray data representation structure,improves,supervised machine learning,Method,Method,1,0,1,1,1
mobile device,uses,supervised machine learning,Material,Method,0,0,0,0,0
model and learning method,uses,dimensionality reduction,Method,Task,1,1,1,1,1
model class,uses,decision tree,OtherEntity,Method,1,0,0,1,0
model of expert behaviour,uses,supervised machine learning,OtherEntity,Method,0,1,0,1,1
molecule data,uses,cluster analysis,Material,Method,0,0,0,1,0
morphological datasets,identifies,pattern classification,Material,Task,0,0,0,0,0
motor imagery electroencephalograms eeg,includes,dimensionality reduction,Material,Task,0,0,0,0,0
mscsd,uses,supervised machine learning,Method,Method,1,1,1,1,1
multi bit division,based-on,decision tree,OtherEntity,Method,0,0,0,1,0
multi level algorithm,produces,cluster analysis,Method,Method,1,1,0,0,0
multi purpose storage composite card,based-on,supervised machine learning,OtherEntity,Method,0,0,0,0,0
multi warhead case,skos:broader/is/hyponym-of,cluster analysis,OtherEntity,Method,0,0,0,0,0
multimedia and knowledge based system,uses,deep learning,Method,Method,0,1,1,1,1
multimodal nature of the data,uses,supervised machine learning,Material,Method,0,0,0,0,0
